title,speaker,duration,url
Pardon the Interruption... But Did Sports Debate Shows Change the World? | Good Sport,Good Sport,39:06,https://ted.com/talks/good_sport_pardon_the_interruption_but_did_sports_debate_shows_change_the_world_good_sport
4 proven ways to kick your procrastination habit,Ayelet Fishbach,29:01,https://ted.com/talks/ayelet_fishbach_4_proven_ways_to_kick_your_procrastination_habit
3 steps of anxiety overload \'97 and how you can take back control,Lisa Damour,21:05,https://ted.com/talks/lisa_damour_3_steps_of_anxiety_overload_and_how_you_can_take_back_control
Is democracy doomed? The global fight for our future,Timothy Snyder,32:47,https://ted.com/talks/timothy_snyder_is_democracy_doomed_the_global_fight_for_our_future
What to expect from a therapy session,Alexis Powell-Howard,18:36,https://ted.com/talks/alexis_powell_howard_what_to_expect_from_a_therapy_session
The secret to making new friends as an adult,Marisa G. Franco,31:43,https://ted.com/talks/marisa_g_franco_the_secret_to_making_new_friends_as_an_adult
Something in the Water: Where Do Great Athletes Come From?,Good Sport,34:51,https://ted.com/talks/good_sport_something_in_the_water_where_do_great_athletes_come_from
"7 new species of robot that jump, dance \'97 and walk on water",Dennis Hong,18:37,https://ted.com/talks/dennis_hong_7_new_species_of_robot_that_jump_dance_and_walk_on_water
A socialist perspective on the pursuit of happiness,Aaron Bastani,19:04,https://ted.com/talks/aaron_bastani_a_socialist_perspective_on_the_pursuit_of_happiness
The secret to a happy life \'97 lessons from 8 decades of research,Robert Waldinger,28:38,https://ted.com/talks/robert_waldinger_the_secret_to_a_happy_life_lessons_from_8_decades_of_research
Stories of the year,After Hours,52:21,https://ted.com/talks/after_hours_stories_of_the_year
You can do better than a New Year's resolution,How to Be a Better Human,37:59,https://ted.com/talks/how_to_be_a_better_human_you_can_do_better_than_a_new_year_s_resolution
How to be a futurist,The TED Interview,42:49,https://ted.com/talks/the_ted_interview_how_to_be_a_futurist
The deep time walk,Outrage + Optimism,48:48,https://ted.com/talks/outrage_optimism_the_deep_time_walk
How great leaders take on uncertainty,Anjali Sud and Stephanie Mehta,23:12,https://ted.com/talks/anjali_sud_and_stephanie_mehta_how_great_leaders_take_on_uncertainty
Demystifying the wild world of crypto,Laura Shin,56:25,https://ted.com/talks/laura_shin_demystifying_the_wild_world_of_crypto
Satya Nadella is building the future,ReThinking with Adam Grant,27:50,https://ted.com/talks/rethinking_with_adam_grant_satya_nadella_is_building_the_future_jul_2022
Jon Batiste on the art of pushing your limits,ReThinking with Adam Grant,28:49,https://ted.com/talks/rethinking_with_adam_grant_jon_batiste_on_the_art_of_pushing_your_limits
How free solo climber Alex Honnold faces fear,ReThinking with Adam Grant,43:04,https://ted.com/talks/rethinking_with_adam_grant_how_free_solo_climber_alex_honnold_faces_fear
Ava DuVernay is Triumphant,ReThinking with Adam Grant,35:00,https://ted.com/talks/rethinking_with_adam_grant_ava_duvernay_is_triumphant
"Life, the universe, and everything with Nobel laureate physicist Saul Perlmutter",ReThinking with Adam Grant,31:38,https://ted.com/talks/rethinking_with_adam_grant_life_the_universe_and_everything_with_nobel_laureate_physicist_saul_perlmutter
