speaker,video_ids,videos,topics,has_wikipedia_page,wikipedia_url,wikipedia_summary,occupation,birth_date,nationality,popularity_score,average_popularity_score
Martin Pistorius,[2338],1,"['health, health care, communication, brain, TEDx']",True,https://en.wikipedia.org/wiki/Martin_Pistorius,,"Freelance web developer/designer, writer","(1975-12-31) 31 December 1975 (age 49)[1]Johannesburg, South Africa",South Africa (1975–present)United Kingdom (2016–present),771.267366720517,771.27
Adena Friedman,[49391],1,"['business, economics, leadership, work, society, finance, capitalism']",True,https://en.wikipedia.org/wiki/Adena_Friedman,"Adena T. Friedman (born Adena Robinson Testa; 1969) is an American businesswoman. She currently serves as the President and CEO of Nasdaq, Inc.[1] She was formerly a managing director and CFO of The Carlyle Group. Initially joining Nasdaq in 1993, she returned to Nasdaq from Carlyle in May 2014 as President of Global Corporate and information technology solutions.[2][3] She was named the CEO of Nasdaq in January 2017, the first woman to lead a global exchange.[4]","Chair and CEO of Nasdaq, Inc.","Adena Robinson Testa1969 (age 55–56)Baltimore, Maryland, United States",,30.73963441818993,30.74
Adeola Fayehun,[64886],1,"['politics, corruption, social change, Africa, activism, leadership, humor, journalism']",True,https://en.wikipedia.org/wiki/Adeola_Fayehun,,Journalist,Adeola Eunice Oladele (1984-07-06) 6 July 1984 (age 41)Nigeria,,1354.767477203647,1354.77
Martin Seligman,[312],1,"['science, technology, education, evolution, psychology, happiness, brain, personality, emotions']",True,https://en.wikipedia.org/wiki/Martin_Seligman,,,"(1942-08-12) August 12, 1942 (age 83)Albany, New York, U.S.",,1200.6430148218228,1200.64
Martin Villeneuve,[1760],1,"['economics, entertainment, creativity, film']",True,https://en.wikipedia.org/wiki/Martin_Villeneuve,,"Screenwriter, film producer, film director, actor, art director, writer","Bécancour, Quebec, Canada",,224.5675438596492,224.57
Martina Flor,[4062],1,"['design, creativity, art, communication, TEDx, books, TED en Español']",False,,,,,,201.91912268677177,201.92
Martine Rothblatt,[2258],1,"['technology, biotech, robots, creativity, gender, love, medicine, identity, Transgender']",True,https://en.wikipedia.org/wiki/Martine_Rothblatt,"Martine Aliana Rothblatt (born 1954) is an American lawyer, author, and entrepreneur. Rothblatt graduated from University of California, Los Angeles with J.D. and M.B.A. degrees in 1981, then began to work in Washington, D.C., first in the field of communications satellite law, then in bioethics and biomedicine.[3] She is also influential in the field of aviation, particularly electric aviation, as well as with sustainable building.",Chairwoman of United Therapeutics,"1954 (age 70–71)Chicago, Illinois, U.S.",,417.7057142857143,417.71
Marvin Minsky,[351],1,"['science, technology, health, evolution, psychology, brain, humanity, humor']",True,https://en.wikipedia.org/wiki/Marvin_Minsky,,,"Marvin Lee Minsky(1927-08-09)August 9, 1927New York City, U.S.",,108.07899347029782,108.08
Marvin Rees,[92073],1,"['climate change, environment, global issues, politics, sustainability, cities, urban planning, innovation, social change, future, government, infrastructure, natural resources, Countdown']",True,https://en.wikipedia.org/wiki/Marvin_Rees,,,"April 1972 (age 53)Bristol, England",,1308.989121989122,1308.99
Marwa Al-Sabouni,[2541],1,"['design, engineering, architecture, cities, collaboration, urban planning, social change, community, religion, war, potential, natural disaster, violence, society, identity, Middle East, refugees, infrastructure, public space']",True,https://en.wikipedia.org/wiki/Marwa_Al-Sabouni,,,"(1981-09-18) 18 September 1981 (age 44)Homs, Syria",,329.4933061699651,329.49
Mary Ann Sieghart,[121643],1,"['culture, social change, gender, leadership, work, women, equality']",True,https://en.wikipedia.org/wiki/Mary_Ann_Sieghart,,"Journalist, broadcaster","(1961-08-06) 6 August 1961 (age 64)Hammersmith, London, England",,1209.3143759873617,1209.31
Mary Bassett,[2445],1,"['global issues, social change, disease, health, health care, Africa, race, medicine, AIDS, United States, illness, public health, virus, government, medical research, TEDMED, equality']",False,https://en.wikipedia.org/wiki/Mary_Bassett,,,,,382.7768432856743,382.78
Mary Ellen Hannibal,[60774],1,"['climate change, environment, science, technology, collaboration, animals, nature, community, biodiversity, ecology']",True,https://en.wikipedia.org/wiki/Mary_Ellen,Mary Ellen is a given name. Notable people with the name include:,,,,568.5352657004831,568.54
Mary L. Gray,[65292],1,"['economics, social change, future, work, society, pandemic, coronavirus']",True,https://en.wikipedia.org/wiki/Mary_L._Gray,"Mary L. Gray is an American anthropologist and author. She is a Fellow at Harvard University's Berkman Klein Center for Internet and Society, as well as a Senior Principal Researcher at Microsoft Research. Along with her research, Gray teaches at Indiana University, maintaining an appointment as an Associate Professor of the Media School, with affiliations in American Studies, Anthropology, and Gender Studies.[1] In 2020, she was awarded a MacArthur Genius Grant in recognition of her work ""inves","Anthropologist, Author",,,115.50229709035222,115.5
Adetayo Bamiduro,[100478],1,"['climate change, transportation, innovation, social change, Africa, pollution, poverty, potential, TED Fellows']",False,,,,,,914.0641860465116,914.06
Mary Maker,[21033],1,"['global issues, education, social change, community, TEDx, refugees, teaching, kids']",True,https://en.wikipedia.org/wiki/Mary_Maker,Actor,"Teacher
Actor

Writer",,,552.7917448405253,552.79
Mary Norris,[2479],1,"['storytelling, communication, language, writing, journalism, grammar']",True,https://en.wikipedia.org/wiki/Mary_Norris,"Mary Norris (née Cronin, 1932 – 31 May 2017) was a young woman in Ireland who was sent to a Magdalene asylum, where her name was changed and she was imprisoned until removed by an aunt.[1] Norris spent two years performing hard labor in the Good Shepherd Convent, a Magdalene asylum.[2] Norris later came forward and recounted her experiences of abuse in the asylum and also the St Joseph's Orphanage in Killarney.[3]",,,,362.2229172590276,362.22
Mary Roach,[549],1,"['culture, science, history, humor, writing, sex, books']",True,https://en.wikipedia.org/wiki/Mary_Roach,,Authorhumorist,"(1959-03-20) March 20, 1959 (age 66)Hanover, New Hampshire, US",US,6904.868190097698,6904.87
Adie Delaney,[68257],1,"['education, communication, sports, teaching, trust, kids']",False,,,,,,855.2476712328768,855.25
Maryam Banikarim,[124695],1,"['relationships, community, success, personal growth']",False,,,,,,981.3404255319148,981.34
Aditi Gupta,[2483],1,"['education, health, communication, activism, parenting, visualizations, women, family, TEDx, books, kids']",True,https://en.wikipedia.org/wiki/Aditi_Gupta,"Aditi Gupta (Hindi: अदिति गुप्ता) is an Indian author and co-founder of Menstrupedia Comic.[1] She and her husband, both National Institute of Design Alumni, co-founded Menstrupedia Comic in 2012.[2] In 2014, she was named in the Forbes India 30 Under 30 2014 list.[3]",Author and co-founder of Menstrupedia Comic,"Garhwa, Jharkhand, India",Indian,546.8775277698661,546.88
María Neira,[58446],1,"['environment, global issues, science, biosphere, health, pollution, brain, human body']",False,,,,,,258.0738636363636,258.07
María Teresa Kumar,[68975],1,"['politics, social change, United States, democracy, government, youth']",True,https://en.wikipedia.org/wiki/María_Teresa,,,"María Teresa Mestre y Batista (1956-03-22) 22 March 1956 (age 69)Marianao, Havana, Cuba",,764.9913232104121,764.99
Masha Gershman,[5575],1,"['education, creativity, future, math']",False,,,,,,21.9548717948718,21.95
Massimo Banzi,[1491],1,"['technology, software, education, robots, creativity, drones, code']",True,https://en.wikipedia.org/wiki/Massimo_Banzi,"Arduino (/ɑːrˈdwiːnoʊ/) is an Italian open-source hardware and software company owned by Qualcomm, project, and user community that designs and manufactures single-board microcontrollers and microcontroller kits for building digital devices. Its hardware products are licensed under a CC BY-SA license, while the software is licensed under the GNU Lesser General Public License (LGPL) or the GNU General Public License (GPL),[1] permitting the manufacture of Arduino boards and software distribution ",,,,452.7498470948012,452.75
Massimo Russo,[89110],1,"['climate change, sustainability, business, collaboration, communication, data']",False,,,,,,1206.092700729927,1206.09
Matan Cohen Grumi,[160685],1,"['technology, creativity, AI, social media']",True,https://en.wikipedia.org/wiki/Matan_Cohen,,Guitarist,(1982-02-08) 8 February 1982 (age 43),,565.7704918032787,565.77
Mathias Basner,[33801],1,"['science, health, sound, medical research, sleep, TEDMED, hearing']",False,,,,,,938.9118357487922,938.91
Mathias Jud,[2365],1,"['politics, technology, art, communication, democracy, Europe, Internet, government, surveillance']",False,,,,,,273.83586543678786,273.84
Mathieu Lamiaux,[5150],1,"['economics, health, health care, Africa, public health']",False,,,,,,5.1505817932922655,5.15
