speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
Miracle Jones,2,568.26,0.0,0,0,0,1.0187585464999154
Misha Glenny,2,252.54,0.0,0,0,1,6.285891776833938
Joachim Horn,2,7.09,0.0,0,0,0,0.012338806090871257
Moriba Jah,2,352.01,0.0,0,0,1,6.464284370127392
Morley,2,39.7,0.0,0,0,0,0.07082259484425958
Moshe Safdie,2,286.46,0.0,0,0,1,6.346724960351721
Murray Gell-Mann,2,203.35,0.0,0,0,1,6.197672900146444
Myriam Sidibe,2,5675.74,50.0,1,1,0,28.512074492774765
Nalini Nadkarni,2,102.53,0.0,0,0,1,6.01685917484388
Golan Levin,2,122.24,0.0,0,0,1,6.052207702176885
Naomi Klein,2,579.26,0.0,0,0,1,6.8718415916608935
Natalie MacMaster,2,201.71,0.0,0,0,1,6.194731673113155
