,speaker,video_ids,videos,views,topics,average_views
3378,Noah Raford,[97409],1,1610477,"['technology, social change, community, gaming, violence, social media, Internet, metaverse']",1610477.0
109,Alberto Garín,[15696],1,36400,"['education, history, teaching, TED en Español']",36400.0
3380,Noam Brown,[142260],1,490592,"['technology, computers, software, AI, code, machine learning']",490592.0
3381,Noel Bairey Merz,[1396],1,1010298,"['politics, science, disease, health, health care, biology, activism, medicine, women, illness, public health, TEDx, medical research, medical imaging, human body, heart']",1010298.0
3382,Noeline Kirabo,[60183],1,3330782,"['business, success, work, personal growth, potential, identity, goals']",3330782.0
3383,Noelle Martin,[39096],1,490138,"['social change, activism, women, law, social media, TEDx, Internet']",490138.0
3384,Nomava Zanazo,[75173],1,1235446,"['business, Africa, consumerism, marketing, shopping']",1235446.0
3385,Nonette Royo,[91496],1,1581000,"['climate change, science, nature, biodiversity, law, trees, indigenous peoples, The Audacious Project, human rights, Countdown, fossil fuels']",1581000.0
3386,Nonny de la Peña,[2376],1,1372077,"['invention, media, innovation, future, storytelling, visualizations, journalism, virtual reality']",1372077.0
3387,Nora Atkinson,[20757],1,524555,"['culture, creativity, art, community, museums, society']",524555.0
3388,Nora Brown,[37382],1,332397,"['music, performance, art, history']",332397.0
110,Alec Soth,[2300],1,2514555,"['culture, love, relationships, photography']",2514555.0
3390,Nora McInerny,[37498],1,8017736,"['death, love, relationships, personal growth, humanity, writing, family']",8017736.0
3391,Nora York,[81],1,464030,"['entertainment, music, performance, poetry']",464030.0
3392,Noreena Hertz,[1079],1,1001759,"['culture, business, economics, decision-making']",1001759.0
3393,Noriko Arai,[2852],1,1781547,"['technology, education, robots, AI, teaching']",1781547.0
3394,Norma Pimentel,[57260],1,1461603,"['social change, humanity, compassion, society, immigration, refugees, human rights']",1461603.0
3395,Norman Lear,[2516],1,1222164,"['entertainment, interview, social change, creativity, communication, activism, motivation, family, television']",1222164.0
3396,Norman Spack,[1947],1,1483028,"['gender, medicine, TEDx, youth, Transgender, LGBTQIA+']",1483028.0
3397,Normand Voyer,[110688],1,1516075,"['science, health, nature, biology, medicine, chemistry, medical research, conservation, plants']",1516075.0
3398,Nour E. Rawafi,[137793],1,503040,"['science, technology, NASA, innovation, future, astronomy, universe, space, solar system, Sun']",503040.0
3399,Noy Thrupkaew,[2275],1,2246987,"['economics, consumerism, work, crime, Slavery']",2246987.0
3400,Nyle DiMarco,[23466],1,460204,"['education, communication, disability, hearing']",460204.0
3401,Nyra Jordan,[84766],1,1740719,"['social change, leadership, work, justice system, equality']",1740719.0
3402,Néstor Guerra,[15697],1,35735,"['business, entrepreneur, work, trust, TED en Español']",35735.0
111,Alejandro Aravena,[2128],1,2410975,"['design, architecture, cities, infrastructure']",2410975.0
3404,Oak Felder,[121086],1,18670,"['culture, technology, computers, entertainment, music, performance, art, AI']",18670.0
3405,Ocean Ramsey,[46526],1,255980,"['global issues, biosphere, fish, conservation, ocean']",255980.0
3406,Oded Shoseyov,[2544],1,1892913,"['environment, science, technology, design, engineering, DNA, biotech, genetics, collaboration, innovation, animals, nature, evolution, biology, future, biodiversity, books, plants']",1892913.0
3407,Ofer Levy,[63894],1,469435,"['science, disease, medicine, public health, Vaccines, TEDx, medical research']",469435.0
3408,Okong'o Kinyanjui,[98260],1,1553258,"['social change, Africa, future, community, personal growth, TED Fellows, LGBTQIA+']",1553258.0
3409,Ola Rosling,[2090],1,6747954,"['global issues, health, statistics']",6747954.0
112,Alejandro Chaskielberg,[29009],1,15387,"['art, history, community, photography, humanity']",15387.0
3411,Ole Scheeren,[2375],1,2927156,"['environment, technology, design, engineering, industrial design, architecture, cities, collaboration, urban planning, innovation, creativity, community, work, productivity, public space']",2927156.0
3412,Oleksandra Matviichuk,[119219],1,748877,"['global issues, politics, corruption, military, social change, war, humanity, law, democracy, human rights, ethics']",748877.0
3413,Olesya Khromeychuk,[122556],1,546232,"['global issues, politics, social change, history, war, society, democracy, government']",546232.0
3414,Olga Kitaina,[93334],1,1562919,"['social change, psychology, history, personal growth, mental health, TED Fellows, emotions']",1562919.0
3415,Olga Yurkova,[17603],1,1438312,"['politics, technology, corruption, social change, communication, war, society, democracy, social media, TED Fellows, Internet, government, journalism']",1438312.0
3416,Oliver Jeffers,[62627],1,2290110,"['creativity, art, love, community, poetry, personal growth, visualizations, Planets, humanity, empathy']",2290110.0
3417,Oliver Sacks,[637],1,9826190,"['psychology, biology, medicine, brain, mental health, neuroscience, sight']",9826190.0
3418,Olivia Affuso,[81396],1,1924660,"['health, health care, biology, personal growth, human body, goals']",1924660.0
3419,Olivia Arthur,[68726],1,337524,"['technology, robots, biology, future, humanity, synthetic biology, human body']",337524.0
3420,Olivia Breese,[115994],1,927232,"['climate change, global issues, science, sustainability, energy, Countdown, renewable energy']",927232.0
3421,Olivia Lazard,[94633],1,2032987,"['climate change, environment, sustainability, technology, energy, resources, Countdown']",2032987.0
113,Alejandro Durán,[52490],1,387612,"['climate change, culture, creativity, art, community, pollution, plastic, ocean']",387612.0
3423,Olivia Tyler,[10565],1,81413,"['sustainability, business, manufacturing']",81413.0
3424,Olivia Vinckier,[99569],1,1587380,"['social change, race, personal growth, family, identity, TEDx, government, data']",1587380.0
3425,Olivier Scalabre,[2563],1,2218420,"['technology, engineering, industrial design, business, economics, innovation, product design, work, 3D printing, manufacturing, international development']",2218420.0
3426,OluTimehin Adegbeye,[2873],1,2568592,"['cities, social change, Africa, activism, poverty, government']",2568592.0
3427,Olúfẹ́mi Táíwò,[2881],1,1202133,"['Africa, history, philosophy, library, leadership, water, society, agriculture, resources, rivers']",1202133.0
3428,Olympia Della Flora,[36415],1,3851990,"['education, creativity, parenting, teaching, emotions, kids']",3851990.0
3429,Omar Ahmad,[838],1,641612,"['culture, politics, business, social change, democracy']",641612.0
3430,Onora O'Neill,[1829],1,1913346,"['global issues, philosophy, TEDx, government, trust']",1913346.0
3431,Onyx Ashanti,[1172],1,920479,"['technology, design, entertainment, music, performance']",920479.0
3432,Opal Tometi,[2634],1,1552900,"['media, collaboration, social change, gender, history, communication, community, activism, race, poverty, humanity, society, identity, social media, immigration, equality']",1552900.0
3433,Oral McGuire,[128624],1,517054,"['environment, humanity, trees, indigenous peoples, Countdown']",517054.0
3434,Ordinary Things,[108174],1,1406404,"['technology, corruption, computers, social change, future, social media, TEDx, Internet, data, surveillance, cyber security, online privacy']",1406404.0
3435,Oren Yakobovich,[2142],1,1181113,"['global issues, social change, activism, film, Internet']",1181113.0
3436,Orit Peleg,[113849],1,14194,"['science, nature, communication, insects, beauty']",14194.0
3437,Orit Tykocinski,[88842],1,1845728,"['psychology, brain, decision-making, TEDx, mindfulness, policy']",1845728.0
3438,Ory Okolloh,[330],1,444131,"['global issues, technology, media, Africa, activism, identity']",444131.0
3439,Oscar Schwartz,[2411],1,972959,"['technology, computers, creativity, poetry, language, AI, literature, writing, identity, TEDx, algorithm']",972959.0
3440,Oskar Eustis,[17275],1,1390819,"['politics, performance, collaboration, social change, creativity, art, history, communication, community, United States, theater, society, democracy']",1390819.0
3441,Ozawa Bineshi Albert,[88219],1,1841236,"['climate change, environment, global issues, sustainability, social change, activism, policy, natural resources, indigenous peoples, Countdown, fossil fuels']",1841236.0
3442,P. Seth Yelorda,[114196],1,17155,"['business, leadership, work, motivation, potential']",17155.0
3443,P.J. Parmar,[32414],1,2120917,"['economics, social change, health, health care, medicine, United States, public health, society, TEDx, refugees']",2120917.0
3444,P.W. Singer,[504],1,1808169,"['global issues, technology, design, robots, future, war, violence, drones']",1808169.0
3445,Pablo Santa Cruz,[16983],1,63801,['TED en Español'],63801.0
3446,Paddy Ashdown,[1314],1,1226603,"['culture, global issues, politics, TEDx, Europe, international relations']",1226603.0
3447,Paige Alexander,[125408],1,574241,"['business, entrepreneur, social change, gender, data, human rights, equality']",574241.0
3448,Palmer Luckey,[148330],1,1493050,"['global issues, technology, military, software, robots, war, AI']",1493050.0
3449,Pam Warhurst,[1538],1,1506865,"['sustainability, food, community, agriculture, botany, gardening']",1506865.0
3450,Pamela Meyer,[1246],1,34251370,"['culture, science, psychology, society']",34251370.0
3451,Pamela Ronald,[2241],1,2213463,"['global issues, sustainability, food, agriculture']",2213463.0
3452,Pamelia Kurstin,[218],1,2298709,"['technology, music, performance']",2298709.0
3453,Pankaj Ghemawat,[1593],1,1103934,"['global issues, business, economics, social change, social media']",1103934.0
3454,Panti Bliss,[64520],1,583290,"['global issues, social change, love, relationships, LGBTQIA+']",583290.0
114,Alejandro Nespral,[7150],1,24285,"['death, communication, youth, TED en Español, emotions, kids']",24285.0
3456,Paolo Bortolameolli,[23684],1,883194,['TED en Español'],883194.0
3457,Paolo Cardini,[1622],1,2898136,"['culture, technology, design, product design, humor']",2898136.0
3458,Paolo Gaudiano,[132052],1,331272,"['business, race, leadership, success, work, TEDx, diversity, inclusion']",331272.0
115,Alejandro Sánchez Alvarado,[2663],1,1428278,"['environment, science, biosphere, education, innovation, animals, nature, creativity, biology, medicine, biodiversity, exploration, illness, beauty, curiosity, neuroscience, TEDx, medical research, discovery, human body, marine biology, ocean']",1428278.0
116,Aleph Molinari,[1348],1,294546,"['global issues, technology, poverty, TEDx']",294546.0
117,Alessandra Orofino,[2107],1,968380,"['politics, technology, cities, community']",968380.0
3462,Particle Ink,[93770],1,346469,"['design, music, performance, art, dance, augmented reality, metaverse']",346469.0
3463,Parul Sehgal,[1852],1,2473762,"['culture, love, relationships, literature, writing, sex, books']",2473762.0
3464,Pat Crowley,[36284],1,19599,"['global issues, food, future, insects, agriculture']",19599.0
118,Alessandro Acquisti,[1848],1,1517538,"['technology, business, social media, policy, online privacy']",1517538.0
3466,Patience Mthunzi,[2313],1,1315531,"['science, innovation, health, health care, biology, medicine, AIDS, medical research, drugs']",1315531.0
3467,Patrice Thompson,[19041],1,76983,"['success, work, society']",76983.0
3468,Patricia Burchat,[326],1,1683473,"['science, education, astronomy, time, universe, physics, energy, Big Bang, dark matter, telescopes']",1683473.0
3469,Patricia Kuhl,[1075],1,4722985,"['science, technology, language, brain, TEDx, kids']",4722985.0
3470,Patricia Ryan,[1106],1,2653373,"['culture, global issues, language, TEDx']",2653373.0
3471,Patricia Villarrubia-Gómez,[96209],1,1659657,"['climate change, environment, science, pollution, humanity, plastic, Countdown']",1659657.0
3472,Patrick Awuah,[156],1,2117116,"['culture, global issues, education, social change, Africa, leadership']",2117116.0
119,Alex Amouyel,[141065],1,402515,"['business, social change, food, philanthropy']",402515.0
3474,Patrick Ferrucci,[25109],1,70732,"['social change, race, sports, social media, journalism']",70732.0
3475,Patrick Forth,[5139],1,52798,"['technology, business, collaboration, work, data']",52798.0
3476,Patrick Lencioni,[61113],1,1045653,['business'],1045653.0
3477,Patrick Talty,[161150],1,302061,"['entertainment, media, storytelling, sports, exercise']",302061.0
3478,Patrisse Cullors,[2634],1,1552900,"['media, collaboration, social change, gender, history, communication, community, activism, race, poverty, humanity, society, identity, social media, immigration, equality']",1552900.0
3479,Patrícia Medici,[2367],1,1533607,"['environment, animals, biology, Brazil, biodiversity, TED Fellows']",1533607.0
3480,Pattie Gonia,[145677],1,352768,"['climate change, social change, activism, happiness, Countdown']",352768.0
3481,Pattie Maes + Pranav Mistry,[481],1,11553317,"['technology, design, demo, UX design']",11553317.0
120,Alex Apella,[7825],1,87611,"['education, storytelling, TEDx, immigration, TED en Español, inclusion']",87611.0
3483,Pau Aleikum Garcia,[137404],1,495984,"[""technology, memory, health, relationships, brain, AI, society, Alzheimer's, artificial intelligence""]",495984.0
3484,"Paul ""Triple H"" Levesque",[161150],1,302061,"['entertainment, media, storytelling, sports, exercise']",302061.0
3485,Paul A. Kramer,[51996],1,2119421,"['politics, social change, history, community, United States, society, immigration, refugees, human rights']",2119421.0
3486,Paul Bennett,[43],1,1041143,"['design, industrial design, business, product design']",1041143.0
121,Alex Budak,[115050],1,210720,"['business, communication, leadership, work, motivation']",210720.0
3488,Paul Catchlove,[101780],1,2498426,"['relationships, personal growth, decision-making, self, identity, mindfulness, worklife']",2498426.0
3489,Paul Cater Deaton,[46532],1,5316,"['culture, global issues, fish, conservation, ocean']",5316.0
122,Alex Carter,[136892],1,651652,"['business, relationships, communication, leadership, work, TEDx, money']",651652.0
3491,Paul Conneally,[1361],1,434109,"['global issues, technology, natural disaster, social media, TEDx']",434109.0
3492,Paul Debevec,[662],1,920742,"['technology, design, computers, art, film, visualizations, TEDx, animation']",920742.0
3493,Paul Ewald,[259],1,703212,"['global issues, science, disease, health, evolution, biology, medicine, illness, bacteria, microbiology']",703212.0
3494,Paul Franklin,[58515],1,53563,"['technology, entertainment, creativity, film']",53563.0
3495,Paul Gilding,[1374],1,1612830,"['climate change, environment, science, sustainability, technology, economics, cities, future, activism, energy, solar energy, agriculture, natural resources, renewable energy']",1612830.0
3496,Paul Greenberg,[2389],1,1703543,"['science, biotech, innovation, food, animals, fish, Mission Blue, ecology, ocean']",1703543.0
3497,Paul Hessburg,[3593],1,1520745,"['climate change, environment, science, nature, United States, trees, TEDx, ecology']",1520745.0
3498,Paul Hudson,[124190],1,734546,"['technology, business, interview, innovation, health care, leadership, work, AI, drugs']",734546.0
3499,Paul Kemp-Robertson,[1795],1,1417856,"['business, marketing, money, trust, blockchain, cryptocurrency']",1417856.0
3500,Paul Knoepfler,[2651],1,1926916,"['science, technology, DNA, biotech, genetics, innovation, social change, health, nature, biology, parenting, AIDS, decision-making, humanity, society, identity, TEDx, policy, bioethics, discovery, CRISPR, kids']",1926916.0
3501,Paul Lewis,[1242],1,344887,"['culture, global issues, cities, collaboration, social media, TEDx, journalism']",344887.0
123,Alex Edmans,[26262],1,2043673,"['politics, science, psychology, statistics, personal growth, society, social media, TEDx, data, journalism, trust']",2043673.0
3503,Paul McEuen,[57418],1,380961,"['science, technology, design, engineering, invention, innovation, robots, future']",380961.0
3504,Paul Moller,[429],1,503533,"['technology, design, engineering, invention, transportation']",503533.0
3505,Paul Nicklen,[1141],1,2649393,"['culture, design, entertainment, animals, creativity, storytelling, photography, biodiversity, Antarctica']",2649393.0
3506,Paul O'Connell,[18774],1,16616,"['business, international development, investing']",16616.0
3507,Paul Pholeros,[1769],1,1449188,"['global issues, design, architecture, health, public health, TEDx']",1449188.0
3508,Paul Piff,[1897],1,4089957,"['psychology, TEDx, behavioral economics']",4089957.0
124,Alex Honnold,[25671],1,13668852,"['nature, storytelling, sports, personal growth, exploration']",13668852.0
3510,Paul Root Wolpe,[1103],1,1730215,"['science, genetics, biology, future, philosophy, TEDx, deextinction, bioethics']",1730215.0
125,Alex Keshavarzi,[126569],1,795050,"['science, technology, astronomy, universe, physics, energy, math, dark matter, TEDx']",795050.0
126,Alex Kipman,[2461],1,3948455,"['technology, design, engineering, invention, computers, innovation, creativity, future, communication, product design, potential, exploration, visualizations, space, UX design']",3948455.0
3513,Paul Sereno,[428],1,937019,"['Africa, animals, evolution, biology, history, exploration, paleontology, dinosaurs']",937019.0
3514,Paul Snelgrove,[1372],1,385457,"['collaboration, biology, fish, photography, marine biology, ocean']",385457.0
3515,Paul Stamets,[258],1,8928752,"['global issues, science, technology, design, food, biology, pollution, fungi']",8928752.0
3516,Paul Tasner,[3114],1,2666331,"['sustainability, business, entrepreneur, innovation, aging, plastic, TED Residency']",2666331.0
3517,Paul Tudor Jones II,[2234],1,2116375,"['philanthropy, money, investing']",2116375.0
3518,Paul Zak,[1259],1,1966954,"['culture, science, cognitive science, psychology, biology, happiness, medicine, brain, sociology, empathy, chemistry, neuroscience, behavioral economics, ethics']",1966954.0
3519,Paula Hammond,[2467],1,1691454,"['science, technology, engineering, invention, biotech, genetics, disease, health, cancer, medicine, microbiology, medical research, nanotechnology']",1691454.0
3520,Paula Johnson,[1910],1,1296054,"['health, women, depression, heart']",1296054.0
127,Alex Koster,[109178],1,1309289,"['technology, design, transportation, computers, future, travel, AI']",1309289.0
3522,Pavan Sukhdev,[1303],1,911847,"['global issues, sustainability, business, economics, finance']",911847.0
3523,Pawan Sinha,[776],1,998271,"['science, health care, biology, medicine, neuroscience, sight, india']",998271.0
3524,Payton M. Wilkins,[118893],1,794360,"['climate change, sustainability, business, social change, activism, energy, work, work-life balance, Countdown, fossil fuels']",794360.0
3525,Peace Itimi,[135254],1,489582,"['technology, business, economics, entrepreneur, Africa, women in business']",489582.0
3526,Peachy Liv,[84652],1,1760693,"['health, humanity, mental health, society, social media, Internet, emotions']",1760693.0
3527,Pearl Arredondo,[1734],1,1254321,"['education, teaching, kids']",1254321.0
3528,Peggy Chan,[69606],1,7084,['education'],7084.0
3529,Peggy McIntosh,[63893],1,554459,"['education, social change, activism, race, equality']",554459.0
3530,Peggy Orenstein,[2708],1,4715012,"['social change, gender, relationships, communication, parenting, women, humanity, empathy, sex, society, family, feminism, kids, equality']",4715012.0
3531,Peggy Shepard,[96255],1,1746033,"['climate change, environment, social change, activism, race, pollution, society, Countdown']",1746033.0
3532,Peggy Weil,[35958],1,9950,"['climate change, social change, art, activism, visualizations']",9950.0
3533,Pelonomi Moiloa,[121089],1,12319,"['culture, technology, Africa, language, AI, data, machine learning']",12319.0
3534,Penelope Boston,[421],1,731061,"['science, technology, universe, exploration, Planets, geology, solar system, Mars, aliens']",731061.0
3535,Penny Chisholm,[19478],1,1570753,"['climate change, science, nature, biology, biodiversity, bacteria, microbiology, ecology, natural resources, ocean']",1570753.0
3536,Per Espen Stoknes,[4463],1,3390492,"['climate change, science, sustainability, biosphere, social change, nature, communication, energy, society, Anthropocene']",3390492.0
3537,Percy Liang,[121114],1,16556,"['technology, engineering, computers, software, collaboration, future, AI, ethics']",16556.0
3538,Pere Estupinyà,[32557],1,676955,"['science, gender, love, relationships, sex, neuroscience']",676955.0
3539,Pete Alcorn,[563],1,601220,"['social change, community']",601220.0
3540,Pete Buttigieg,[35607],1,130840,"['politics, future, history, community, society']",130840.0
3541,Pete Stavros,[129391],1,685473,"['business, social change, community, leadership, work, money, finance, investing']",685473.0
3542,Peter Attia,[1774],1,5082669,"['health, health care, medicine, public health, medical research']",5082669.0
3543,Peter Beck,[50982],1,491523,"['science, technology, entrepreneur, exploration, space, 3D printing']",491523.0
3544,Peter Biddle,[19768],1,62716,"['business, innovation, communication']",62716.0
3545,Peter Calthorpe,[2839],1,3871245,"['design, transportation, architecture, cities, urban planning, future, society, infrastructure, public space']",3871245.0
128,Alex Laskey,[1754],1,1347196,"['psychology, energy, behavioral economics, electricity']",1347196.0
3547,Peter Donnelly,[67],1,1462858,"['culture, science, technology, genetics, statistics']",1462858.0
3548,Peter Doolittle,[1878],1,2966504,"['science, memory, cognitive science, psychology, brain, consciousness, productivity, neuroscience']",2966504.0
3549,Peter Eigen,[763],1,934821,"['global issues, politics, corruption, TEDx, money']",934821.0
129,Alex Luebke,[132747],1,551681,"['science, technology, robots, health, health care, medicine, medical research, medical imaging']",551681.0
3551,Peter Haas,[978],1,410004,"['global issues, technology, business, architecture, natural disaster, TED Fellows']",410004.0
3552,Peter Harris,[13024],1,27550,"['environment, sustainability, economics']",27550.0
3553,Peter Kirn,[5140],1,12072,"['music, collaboration, art, sound']",12072.0
3554,Peter McGraw,[148258],1,834472,"['culture, social change, love, relationships, happiness, family, TEDx, Life']",834472.0
3555,Peter McIndoe,[117488],1,2246256,"['social change, relationships, communication, community, United States, personal growth']",2246256.0
3556,Peter Molyneux,[932],1,881441,"['technology, design, computers, psychology, AI, gaming, kids']",881441.0
3557,Peter Norvig,[1487],1,1287097,"['global issues, computers, education, Internet']",1287097.0
3558,Peter Ouko,[6671],1,1096491,"['social change, Africa, motivation, potential, humanity, law, society, prison, justice system']",1096491.0
3559,Peter Pomerantsev,[138367],1,683451,"['war, society, crime, TEDx, government, trust']",683451.0
3560,Peter Saul,[1399],1,1300701,"['global issues, death, health, health care, TEDx']",1300701.0
3561,Peter Singer,[1746],1,2484255,"['global issues, social change, philosophy, philanthropy']",2484255.0
3562,Peter Tyack,[886],1,589337,"['science, music, animals, Mission Blue, ocean']",589337.0
3563,Peter Ward,[440],1,1196903,"['environment, science, disease, history, space, dinosaurs']",1196903.0
3564,Peter Weinstock,[2711],1,1104317,"['technology, education, innovation, health care, future, medicine, brain, TEDx, Surgery, teaching, kids']",1104317.0
3565,Peter Wilczynski,[156225],1,309147,"['technology, cities, future, AI, data, maps']",309147.0
3566,Peter van Manen,[1802],1,900112,"['technology, transportation, health, medicine, sports, TEDx, data, kids']",900112.0
3567,Peter van Uhm,[1342],1,5253449,"['global issues, military, war, violence, TEDx']",5253449.0
3568,Petter Johansson,[10361],1,1759376,"['cognitive science, psychology, illusion, decision-making, self, magic, TEDx']",1759376.0
3569,Phebe Vayanos,[121091],1,5485,"['technology, computers, social change, future, AI, policy, machine learning, ethics']",5485.0
3570,Phil Borges,[34],1,1100356,"['culture, global issues, design, social change, art, storytelling, activism, film, photography, indigenous peoples']",1100356.0
3571,Phil Hansen,[1747],1,3071932,"['art, personal growth, disability']",3071932.0
130,Alex Rosenthal,[30295],1,483649,"['design, entertainment, creativity, art']",483649.0
3573,Phil Tetlow,[10368],1,18105,"['universe, data']",18105.0
3574,Philip Evans,[1938],1,1900345,"['business, economics']",1900345.0
3575,Philip Johns,[137791],1,592399,"['climate change, cities, urban planning, animals, nature, TEDx, wildlife']",592399.0
3576,Philip K. Howard,[771],1,800656,"['design, business, health care, law']",800656.0
3577,Philip Krinks,[5152],1,50022,"['business, work, motivation, work-life balance']",50022.0
3578,Philip Lubin,[65189],1,363802,"['technology, innovation, astronomy, physics, space, solar system']",363802.0
131,Alex Smith,[81387],1,3136318,"['relationships, sports, motivation, personal growth, self']",3136318.0
3580,Philipp Carlsson-Szlezak,[127368],1,549240,"['global issues, business, economics, media, money, journalism, finance']",549240.0
3581,Philipp Gerbert,[6018],1,48804,"['business, collaboration, innovation, work, AI, machine learning']",48804.0
3582,Philippa Neave,[2608],1,921936,"['global issues, communication, language, decision-making, democracy, international development']",921936.0
3583,Philippe Petit,[1456],1,817676,"['entertainment, storytelling, personal growth, magic']",817676.0
3584,Philippe Starck,[197],1,2469560,"['design, philosophy, storytelling, humanity, humor']",2469560.0
3585,Philippe Villeneuve,[155033],1,312423,"['technology, design, architecture, innovation, art, history, spirituality']",312423.0
3586,Phillip Picardi,[8179],1,35025,"['activism, success, identity, LGBTQIA+']",35025.0
3587,Phnam Bagley,[107691],1,1345792,"['science, sustainability, industrial design, NASA, innovation, food, future, product design, space, Mars']",1345792.0
3588,Pia Heidenmark Cook,[66944],1,169657,"['climate change, environment, sustainability, business, leadership, Countdown']",169657.0
3589,Pia Mancini,[2104],1,1385176,"['politics, technology, software, government']",1385176.0
133,Alex Tabarrok,[525],1,976143,"['culture, global issues, business, economics, cities, health, future, history, happiness, china']",976143.0
3591,Pierre Barreau,[21804],1,1627518,"['technology, computers, music, innovation, creativity, art, future, demo, AI, algorithm, machine learning, emotions']",1627518.0
3592,Pierre Thiam,[2875],1,1279564,"['innovation, food, Africa, agriculture, farming']",1279564.0
3593,Pilobolus,[24],1,4838052,"['science, entertainment, performance, nature, dance']",4838052.0
3594,Pinky Cole,[148362],1,390406,"['business, entrepreneur, interview, food, community, leadership, women in business']",390406.0
3595,Piyachart Phiromswad,[118165],1,812773,"['technology, economics, social change, future, aging, work, human body']",812773.0
3596,Platon,[95046],1,682088,"['creativity, art, communication, photography, humanity, compassion, empathy, emotions']",682088.0
3597,Ples Felix,[8779],1,1193545,"['death, social change, communication, community, activism, violence, humanity, compassion, empathy, society, kids']",1193545.0
3598,Poet Ali,[55061],1,924297,"['culture, art, poetry, language, humanity, empathy, emotions']",924297.0
3599,Poppy Crum,[17239],1,1778810,"['science, technology, computers, psychology, communication, AI, humanity, virtual reality, emotions']",1778810.0
3600,Pranav Mistry,[685],1,19679637,"['technology, design, software, demo']",19679637.0
3601,Pratik Shah,[20008],1,1739639,"['science, technology, innovation, health, health care, cancer, future, medicine, AI, illness, TED Fellows, medical research, machine learning, medical imaging']",1739639.0
3602,Prince William,[66733],1,1948356,"['climate change, environment, sustainability, technology, innovation, social change, nature, leadership, conservation, Countdown']",1948356.0
3603,Priscilla Chomba-Kinywa,[85786],1,2072841,"['global issues, technology, social change, society, TEDx, Internet']",2072841.0
3604,Priscilla Pemu,[51452],1,2221665,"['culture, technology, disease, health, health care, community, medicine, self, humanity, illness, vulnerability, human body, diversity, equality']",2221665.0
3605,Priti Krishtel,[56527],1,2354153,"['business, economics, health care, medicine, United States, public health']",2354153.0
3606,Priya Parker,[42423],1,2662730,"['culture, social change, communication, community, humanity, society, family, friendship']",2662730.0
3607,Priya Vulchi,[13828],1,1761552,"['education, social change, communication, community, race, leadership, United States, humanity, society, equality']",1761552.0
134,Alex Wissner-Gross,[1922],1,2202361,"['science, engineering, software, robots, cognitive science, future, universe, physics, brain, AI, gaming, math, neuroscience, TEDx, code, machine learning, aliens']",2202361.0
3609,Prumsodun Ok,[2892],1,1827865,"['performance, creativity, art, gender, dance, beauty, identity, TED Fellows']",1827865.0
3610,Punya Mishra,[109968],1,1652965,"['design, education, social change, parenting, success, teaching, kids']",1652965.0
3611,Péter Fankhauser,[1281],1,630398,"['technology, design, engineering, robots, creativity']",630398.0
3612,Qi Wu 吴琪,[72454],1,4143,[],4143.0
3613,Qi Zhang,[581],1,914554,"['technology, music, performance, TEDx']",914554.0
3614,Qiuqing Tai,[68727],1,372099,"['technology, media, social change, communication, social media, Internet']",372099.0
3615,Qudus Onikeku,[13830],1,186846,"['performance, Africa, dance']",186846.0
3616,Quixotic Fusion,[1464],1,1684083,"['culture, technology, entertainment, dance']",1684083.0
3617,Quyen Nguyen,[1302],1,1263004,"['science, technology, biotech, innovation, health care, cancer, biology, medicine, medical research, Surgery']",1263004.0
3618,R. Alan Brooks,[72494],1,2878514,"['social change, creativity, art, activism, society, TEDx, books']",2878514.0
3619,R. Luke DuBois,[2487],1,1375762,"['culture, computers, media, performance, software, creativity, art, illusion, time, visualizations, society, identity, Internet, data, algorithm, maps']",1375762.0
3620,R.A. Mashelkar,[991],1,764703,"['technology, design, industrial design, business, economics, india']",764703.0
3621,Rabbi Lord Jonathan Sacks,[2811],1,2310648,"['global issues, politics, social change, future, community, religion, personal growth, humanity, fear']",2310648.0
3622,Rabiaa El Garani,[50854],1,1818019,"['social change, war, personal growth, women, violence, crime, Middle East, TEDMED, sexual violence']",1818019.0
3623,Rach Ranton,[10569],1,18344,"['business, military, leadership']",18344.0
3624,Rachel Armstrong,[667],1,1421785,"['science, sustainability, technology, design, industrial design, architecture, art, biology, international development']",1421785.0
135,Alexa Meade,[1814],1,2893250,"['design, creativity, art, photography, painting']",2893250.0
3626,Rachel Kleinfeld,[55562],1,1337085,"['culture, social change, poverty, violence, humanity, society, vulnerability, equality']",1337085.0
3627,Rachel Kyte,[87482],1,1723291,"['climate change, environment, sustainability, business, government, Countdown']",1723291.0
3628,Rachel Pike,[682],1,1578741,"['climate change, environment, global issues, science, chemistry, weather']",1578741.0
3629,Rachel Sussman,[948],1,1819403,"['environment, nature, biology, photography, biodiversity, trees, fungi']",1819403.0
3630,Rachel Wurzman,[26076],1,2000105,"['science, social change, biology, community, brain, mental health, public health, neuroscience, TEDx, medical research, addiction, drugs']",2000105.0
3631,Rachelle Garniez,[115],1,501977,"['entertainment, music, performance']",501977.0
3632,Radhika Nagpal,[2870],1,1321158,"['science, innovation, robots, fish, future, insects, AI']",1321158.0
3633,Rafael Chiuzi,[156619],1,339319,"['business, collaboration, psychology, relationships, communication, work, TEDx, worklife']",339319.0
136,Alexander Belcredi,[27105],1,1702868,"['science, biotech, innovation, disease, health, biology, medicine, illness, bacteria, microbiology, virus, medical research, drugs']",1702868.0
138,Alexander Leitner,[54443],1,35896,"['philosophy, time, personal growth, productivity']",35896.0
3636,Raghuram Rajan,[53087],1,38480,"['business, community, government']",38480.0
