,speaker,video_ids,videos,views,topics,average_views
2457,Kathy Kleiman,[61550],1,32648,"['computers, history, storytelling, women, code']",32648.0
2458,Kathy Mendias,[67047],1,1615628,"['relationships, humanity, mental health, emotions']",1615628.0
2459,Kathy Vinokurov,[31242],1,36671,"['culture, inclusion']",36671.0
2460,Katie Bouman,[2723],1,5859115,"['science, technology, collaboration, innovation, nature, astronomy, universe, physics, exploration, visualizations, space, TEDx, telescopes']",5859115.0
2461,Katie Fahey,[120758],1,665475,"['politics, business, social change, society, democracy, government']",665475.0
2462,Katie Francfort,[12971],1,27912,"['technology, disease, insects']",27912.0
2463,Katie Hinde,[2720],1,1597653,"['science, disease, health, health care, animals, nature, gender, biology, activism, parenting, medicine, anthropology, biodiversity, women, humanity, bacteria, government, kids, equality']",1597653.0
2464,Katie Hood,[41353],1,12692059,"['love, relationships, communication, personal growth, humanity, youth, emotions']",12692059.0
2465,Katie Mack,[76211],1,1627653,"['science, technology, astronomy, universe, visualizations, Planets, space, TED Fellows, astrobiology']",1627653.0
2466,Katie Paterson,[86285],1,2050669,"['design, creativity, art, future, time, beauty']",2050669.0
2467,Katlego Kolanyane-Kesupile,[15420],1,1295265,"['social change, gender, community, activism, humanity, society, identity, TED Fellows, Transgender, LGBTQIA+']",1295265.0
2468,Katrina Spade,[2808],1,1559214,"['environment, sustainability, biosphere, architecture, death, nature, bacteria, microbiology, TEDx, ecology, fungi']",1559214.0
2469,Katsuhiko Hayashi,[138369],1,460376,"['science, technology, DNA, genetics, health, animals, biology, medical research, human body']",460376.0
2470,Kaustav Dey,[10750],1,1362001,"['social change, creativity, communication, activism, society, identity, fashion']",1362001.0
2471,Kavita Ramdas,[842],1,645342,"['culture, social change, women, feminism, india']",645342.0
2472,Kay M. Tye,[59862],1,2546754,"['science, psychology, brain, mental health, neuroscience, medical research']",2546754.0
2473,Kayla Briët,[3617],1,1066444,"['culture, music, creativity, art, community, film, family, identity, TED Fellows']",1066444.0
2474,Kayvon Tehranian,[81961],1,2344866,"['technology, art, future, blockchain, cryptocurrency, metaverse, NFTs']",2344866.0
2475,Kaz,[87584],1,1977618,"['education, relationships, communication, parenting, sex, TED Fellows, teaching']",1977618.0
2476,Kedra Newsom Reeves,[67583],1,1565138,"['business, social change, community, race, United States, finance, inclusion, equality']",1565138.0
2477,Keely Muscatell,[120761],1,780622,"['science, health, psychology, mental health, neuroscience, TEDx']",780622.0
2478,Keenan Scott II,[109099],1,1277044,"['performance, creativity, art, race, theater, language, personal growth, spoken word, writing']",1277044.0
2479,Kees Moeliker,[1703],1,1504337,"['environment, science, biology, humor, sex, birds']",1504337.0
2480,Keiichiro Hirano,[20087],1,206557,"['love, relationships, communication, personal growth, self']",206557.0
2481,Keith Barry,[310],1,18972096,"['entertainment, illusion, brain, magic']",18972096.0
2482,Keith Bellows,[345],1,232207,"['global issues, transportation, entertainment, animals, energy, sex']",232207.0
2483,Keith Chen,[1670],1,2133536,"['business, economics, language, data, behavioral economics']",2133536.0
2484,Keith Kirkland,[32190],1,1843786,"['technology, design, invention, entrepreneur, innovation, future, sight, TED Residency, blindness']",1843786.0
